,ICC,Lower,Higher
log-sigma-2-mm-3D_glcm_Imc2_32_binCount,0.7433609243718565,0.7246705814921363,0.7609582728501565
log-sigma-2-mm-3D_glcm_InverseVariance_32_binCount,0.7259073811555398,0.7061601327634444,0.7445261628795571
log-sigma-2-mm-3D_glcm_JointAverage_32_binCount,0.4363008344072216,0.4029158713356002,0.4685267868047611
log-sigma-2-mm-3D_glcm_JointEnergy_32_binCount,0.7944993877226426,0.7790628349459965,0.8089732587690345
log-sigma-2-mm-3D_glcm_JointEntropy_32_binCount,0.7913401334472547,0.7756969100815492,0.8060116699829356
log-sigma-2-mm-3D_glcm_MCC_32_binCount,0.4237586150346876,0.3899339520048671,0.4564408958326111
log-sigma-2-mm-3D_glcm_MaximumProbability_32_binCount,0.7983408954420201,0.7831582442664359,0.8125722909093239
log-sigma-2-mm-3D_glcm_SumAverage_32_binCount,0.43630083414207055,0.40291587106409016,0.4685267865467407
log-sigma-2-mm-3D_glcm_SumEntropy_32_binCount,0.7850822196599647,0.7690305641145095,0.8001444904359688
log-sigma-2-mm-3D_glcm_SumSquares_32_binCount,0.7596690695290801,0.7419919144706213,0.7762906448614837
log-sigma-2-mm-3D_glrlm_GrayLevelNonUniformity_32_binCount,0.9978246672094697,0.9976411829247944,0.9979938934006817
log-sigma-2-mm-3D_glrlm_GrayLevelNonUniformityNormalized_32_binCount,0.7929722264434909,0.7774365326393724,0.8075410316284949
log-sigma-2-mm-3D_glrlm_GrayLevelVariance_32_binCount,0.7802814987870734,0.7639168378311962,0.7956432247951849
log-sigma-2-mm-3D_glrlm_HighGrayLevelRunEmphasis_32_binCount,0.43417400015470914,0.4007155305365551,0.4664764633555373
log-sigma-2-mm-3D_glrlm_LongRunEmphasis_32_binCount,0.8554738432378335,0.8442199643773239,0.8659738362497282
log-sigma-2-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_32_binCount,0.6829857732361626,0.660755689659374,0.7040187936703417
log-sigma-2-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_32_binCount,0.4800117212858617,0.44821413322577713,0.5105961235088576
log-sigma-2-mm-3D_glrlm_LowGrayLevelRunEmphasis_32_binCount,0.5046582286900306,0.4738278970925024,0.5342526419813397
log-sigma-2-mm-3D_glrlm_RunEntropy_32_binCount,0.6284546505355467,0.6033013650891909,0.6523588483530024
